,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate_init,param_momentum,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
90,1.1570586442947388,0.1365913906131504,0.0007334232330322265,1.0570738813338545e-05,0.9,0.001,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.001, 'solver': 'sgd'}",0.95,0.95,0.9,0.95,0.95,1.0,1.0,1.0,1.0,1.0,0.97,0.033166247903554005,12
91,1.1319969177246094,0.20876178223246628,0.0007467269897460938,3.5986518390287115e-05,0.9,0.1,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.1, 'solver': 'sgd'}",0.9,0.95,0.9,0.95,1.0,1.0,1.0,1.0,0.9,0.95,0.9549999999999998,0.04153311931459037,69
92,1.008597207069397,0.06737187470668937,0.0007646083831787109,9.017758460315762e-05,0.9,0.2,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.2, 'solver': 'sgd'}",0.95,1.0,0.8,0.95,1.0,1.0,1.0,0.95,0.95,1.0,0.96,0.058309518948452994,40
93,1.0241129875183106,0.08614864887792711,0.0007532119750976562,6.884567558241339e-05,0.9,0.3,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.3, 'solver': 'sgd'}",0.95,1.0,0.9,0.95,1.0,1.0,1.0,0.95,0.9,1.0,0.9650000000000001,0.03905124837953327,24
94,0.8650855779647827,0.14288892724333105,0.0007385492324829101,2.2020908383896646e-05,0.9,0.4,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.4, 'solver': 'sgd'}",0.9,0.95,0.8,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.9549999999999998,0.0610327780786685,69
95,0.7461565256118774,0.05766635840686078,0.0007310867309570313,1.5230525185427446e-05,0.9,0.5,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.5, 'solver': 'sgd'}",1.0,1.0,0.8,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.97,0.05999999999999999,12
96,0.7513666868209838,0.1816225553451765,0.0007359266281127929,2.0269800195367218e-05,0.9,0.6,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.6, 'solver': 'sgd'}",0.95,1.0,0.8,0.95,1.0,1.0,1.0,0.95,0.95,1.0,0.96,0.058309518948452994,40
97,0.7124553918838501,0.19137633569109208,0.0007311105728149414,1.5931018131327284e-05,0.9,0.7,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.7, 'solver': 'sgd'}",0.95,1.0,0.8,0.95,0.95,1.0,1.0,1.0,0.9,1.0,0.9550000000000001,0.0610327780786685,59
98,0.48477118015289306,0.057259251202867095,0.0007298707962036133,1.7426441098404725e-05,0.9,0.8,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.8, 'solver': 'sgd'}",0.95,1.0,0.75,0.95,0.95,1.0,1.0,0.95,1.0,1.0,0.9550000000000001,0.07228416147400481,59
99,0.3119985103607178,0.052063711535354586,0.0007183313369750977,1.3259352991771677e-05,0.9,0.9,sgd,"{'learning_rate_init': 0.9, 'momentum': 0.9, 'solver': 'sgd'}",0.95,1.0,0.9,0.95,1.0,1.0,1.0,0.95,0.95,1.0,0.97,0.033166247903554005,12
